Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,3.13856242760413,0.678693867597133,0.978015596602958,1.77184940623995,3.16563942684169,2.74002980815075,3.1563216794257,3.10547854351653,0.806633184484994,-2.54671889145929,3.26005790067614,2.08715778909783,1.44567354276259,1.62838584533004,1.89644668536985,1.89985030656202,1.60299529228149,2.28826822668024,2.16423195881895,1.61279143424787,-3.84788423011317,5.52976739411832,2.5096434833969,1.9973392951708
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
